Symbol,Company,Yield Percentage,Next Ex-div Date
SRCE,1st Source Corporation,2.564%,2020-02-03
AMSF,AMERISAFE,1.462%,2020-03-12
ASML,ASML Holding N.V.,0.444%,2020-04-24
ATNI,ATN International,1.158%,2019-12-30
ATVI,Activision Blizzard,0.689%,2020-04-14
ARLP,Alliance Resource Partners L.P.,23.256%,2020-02-06
LNT,Alliant Energy,2.62%,2020-01-30
AIMC,Altra Industrial Motion,2.116%,2020-03-17
DOX,Amdocs Limited,1.903%,2020-03-30
AAL,American Airlines Group,1.73%,2020-02-04
AGNC,American Capital Agency,10.373%,2020-02-27
ANAT,American National Insurance Company,3.067%,2020-03-05
ATLO,Ames National Corporation,3.72%,2020-04-30
AMGN,Amgen,3.042%,2020-02-13
ADI,Analog Devices,2.163%,2020-02-27
APOG,Apogee Enterprises,2.303%,2020-01-31
AINV,Apollo Investment Corporation,11.05%,2020-03-19
AAPL,Apple,1.069%,2020-02-07
AMAT,Applied Materials,1.427%,2020-02-18
ARCC,Ares Capital Corporation,8.974%,2020-03-13
AROW,Arrow Financial Corporation,3.114%,2020-03-02
ARTNA,Artesian Resources Corporation Class A Non-Vo,2.718%,2020-02-06
ATRI,Atrion Corporation,0.939%,2019-11-29
AUBN,Auburn National Bancorporation,1.759%,2020-03-09
ADP,Automatic Data Processing,2.177%,2020-03-12
AVT,Avnet,2.555%,2020-03-03
BOKF,BOK Financial Corporation,2.637%,2020-02-11
BCPC,Balchem Corporation,0.535%,2019-12-27
BANF,BancFirst Corporation,2.297%,2019-12-30
OZK,Bank OZK,3.972%,2020-01-16
BMRC,Bank of Marin Bancorp,2.234%,2020-02-06
BKSC,Bank of South Carolina,3.459%,2019-12-31
BANR,Banner Corporation,3.243%,2020-01-08
BSET,Bassett Furniture Industries Incorporated,5.025%,2020-02-13
BKEP,Blueknight Energy Partners L.P. L.L.C.,14.747%,2020-02-03
BPFH,Boston Private Financial Holdings,4.469%,2020-02-06
AVGO,Broadcom,4.599%,2019-12-20
BPR,Brookfield Property REIT Inc.,7.544%,2020-02-27
BMTC,Bryn Mawr Bank Corporation,2.858%,2020-01-30
CFFI,C&F Financial Corporation,3.302%,2020-03-12
CHRW,C. H. Robinson Worldwide,2.839%,2020-03-05
CBOE,CBOE Holdings,1.179%,2020-02-28
CME,CME Group,1.632%,2020-03-09
CSGS,CSG Systems International,1.969%,2020-03-05
CSX,CSX,1.376%,2020-02-27
