Symbol,Company,Yield Percentage,Next Ex-div Date
MMM,3M,4.004%,2020-02-13
AOS,A.O. Smith Corporation,2.344%,2020-01-30
ABB,ABB Ltd. ADS,3.523%,2019-05-06
ABM,ABM Industries Incorporated,2.071%,2019-12-31
AFL,AFLAC,2.348%,2020-02-18
AGCO,AGCO Corporation,0.997%,2020-02-13
ARR,ARMOUR Residential REIT,10.256%,2020-03-13
T,AT&T,5.569%,2020-01-09
AVX,AVX Corporation,2.122%,2020-02-18
AZZ,AZZ,1.652%,2020-01-31
AAN,Aarons,0.375%,2019-12-18
ABBV,AbbVie,5.293%,2020-04-14
ABT,Abbott Laboratories,1.775%,2020-04-14
ACN,Accenture Cl A,1.624%,2020-01-15
ACU,Acme United,2.022%,2020-01-07
AYI,Acuity Brands Inc (Holding Company),0.484%,2020-01-16
AAP,Advance Auto Parts Inc W/I,0.174%,2019-12-19
AMG,Affiliated Managers Group,1.555%,2020-02-12
A,Agilent Technologies,0.924%,2019-12-30
ADC,Agree Realty Corporation,3.052%,2019-12-19
APD,Air Products & Chemicals,2.276%,2020-03-31
AYR,Aircastle Limited,3.988%,2020-02-27
ALK,Alaska Air Group,2.551%,2020-02-14
AIN,Albany International Corporation,1.092%,2020-03-19
ALB,Albemarle Corporation,1.713%,2019-12-12
ALX,Alexanders,5.873%,2020-01-24
ARE,Alexandria Real Estate Equities,2.518%,2019-12-30
ALLE,Allegion plc,1.032%,2020-03-16
ALE,Allete,3.192%,2020-02-13
ADS,Alliance Data Systems,2.688%,2020-02-13
ALL,Allstate,1.841%,2020-02-28
MO,Altria Group,7.908%,2019-12-24
AEE,Ameren,2.37%,2020-03-10
AAT,American Assets Trust,2.724%,2020-03-11
ACC,American Campus Communities,3.917%,2019-11-07
AEO,American Eagle Outfitters,4.092%,2020-01-02
AEP,American Electric Power,2.852%,2020-02-07
AEL,American Equity Investment Life Holding Company,1.05%,2019-12-02
AXP,American Express,1.423%,2020-01-02
AFG,American Financial Group,1.768%,2020-01-14
AIG,American International Group,2.829%,2020-03-13
AWR,American States Water Company,1.392%,2020-02-13
AMT,American Tower Corp A,1.641%,2019-12-26
AWK,American Water Works Company,1.503%,2020-02-06
AMP,Ameriprise Financial,2.484%,2020-02-13
ABC,AmerisourceBergen,1.808%,2020-02-13
APH,Amphenol Corporation,1.047%,2020-03-16
BUD,Anheuser-Busch Inbev Sa/Nv (ADR),2.647%,2019-11-19
NLY,Annaly Capital Management LP,10.204%,2019-12-30
ANTM,Anthem,1.421%,2020-03-13
AON,Aon plc Class A (UK),0.791%,2020-01-31
AIV,Apartment Investment & Management,3.06%,2020-02-13
APLE,Apple Hospitality REIT Inc.,8.74%,2020-03-03
AIT,Applied Industrial Technologies,2.01%,2020-02-13
ATR,Aptar Group,1.347%,2020-01-28
ABR,Arbor Realty Trust,8.683%,2020-02-27
MT,ArcelorMittal (ADR),1.366%,2019-05-16
ADM,Archer-Daniels-Midland,3.562%,2020-02-12
AHH,Armada Hoffler Properties,4.867%,2020-03-24
AJG,Arthur J. Gallagher & Co.,1.733%,2020-03-05
ASH,Ashland Global Holdings,1.435%,2020-02-27
ASB,Associated Banc-Corp,3.911%,2020-02-28
AIZ,Assurant,1.883%,2020-02-21
AGO,Assured Guaranty,1.649%,2019-11-19
AZN,AstraZeneca PLC ADS,4.036%,2020-02-27
ATO,Atmos Energy,2.022%,2020-02-21
ALV,Autoliv,3.607%,2020-05-18
AVB,Avalonbay Communities,2.872%,2020-03-30
AVY,Avery Dennison Corporation,1.909%,2020-03-03
AVA,Avista,3.303%,2020-02-20
AXS,Axis Capital Holdings Limited,2.645%,2020-03-30
BGS,B&G Foods,14.867%,2020-03-30
BBL,BHP Billiton (ADR),6.569%,2020-03-05
