Symbol,Company,Yield Percentage,Next Ex-div Date
AW.UN,A&W Revenue Royalties Income Fund,5.275%,2020-02-13
ABT,Absolute Software Corporation,3.236%,2020-02-06
ADN,Acadian Timber,6.674%,2020-03-30
ACD,Accord Financial,3.996%,2020-02-13
ARE,Aecon Group,3.511%,2019-12-23
AFN,Ag Growth International,5.908%,2020-02-27
AGF.B,Agf Management Ltd. Cl.B Nv,4.954%,2019-10-09
AEM,Agnico-Eagle Mines,1.536%,2020-02-27
BOS,Airboss America J,3.204%,2019-12-30
AGI,Alamos Gold,0.599%,2019-12-05
AD,Alaris Royalty,7.761%,2020-02-27
AQN,Algonquin Power And Utilities,3.404%,2019-12-30
ATD.B,Alimentation Couche-Tard Inc. Cl B Sv,0.583%,2019-12-04
AP.UN,Allied Properties Real Estate Inv Trust,2.822%,2020-02-27
ACI,AltaGas Canada Inc.,3.109%,2019-11-28
ALA,Altagas,4.469%,2020-02-24
AIF,Altus Group Limited,1.313%,2019-12-30
HOT.UN,American Hotel Income Properties REIT LP,12.513%,2020-02-27
ADW.A,Andrew Peller,2.12%,2019-12-30
ARX,Arc Resources,9.449%,2020-02-27
AX.UN,Artis Real Estate Investment Trust Units,4.459%,2020-02-27
ACO.X,Atco Ltd. Cl.I Nv,3.244%,2020-03-04
AI,Atrium Mortgage Investment Corporation,6.325%,2020-02-27
HRR.UN,Australian REIT Income Fund,5.197%,2020-02-27
ACQ,Autocanada,3.463%,2020-02-28
APR.UN,Automotive Properties Real Estate Investment,6.417%,2020-02-27
ZAG,BMO Aggregate Bond Index ETF,2.93%,2020-02-26
ZDV,BMO Canadian Dividend ETF,4.38%,2020-02-26
ZWU,BMO Covered Call Utilities ETF,6.228%,2020-02-26
ZEO,BMO Equal Weight Oil & Gas Index ETF,3.906%,2019-12-27
ZRE,BMO Equal Weight REITs Index ETF,3.665%,2020-02-26
ZLB,BMO Low Volatility Canadian Equity ETF,1.89%,2019-12-27
ZFM,BMO Mid Federal Bond Index ETF,2.089%,2020-02-26
ZCN,BMO S&P/TSX Capped Composite Index ETF,3.098%,2019-12-27
ZWH,BMO US High Dividend Covered Call ETF,6.373%,2020-02-26
DOO,BRP,0.651%,2019-12-26
BTB.UN,BTB Real Estate Investment Trust,8.14%,2020-02-27
BAD,Badger Daylighting,1.782%,2020-02-27
BMO,Bank Of Montreal,4.36%,2020-04-30
BNS,Bank Of Nova Scotia,4.967%,2020-04-06
ABX,Barrick Gold Corporation,1.317%,2020-02-27
BCE,Bce,5.294%,2020-03-13
BIR,Birchcliff Energy Ltd.,6.774%,2019-12-13
BDT,Bird Construction,6.22%,2020-02-27
BEI.UN,Boardwalk Real Estate Investment Trust,2.006%,2020-02-27
BNE,Bonterra Energy,4.494%,2020-02-13
BLX,Boralex,2.115%,2020-02-27
BPF.UN,Boston Pizza Royalties Income Fund,8.762%,2020-02-20
BRE,Bridgemarq Real Estate Services,8.899%,2020-02-27
BAM.A,Brookfield Asset Management Inc. Cl.A Lv,1.126%,2020-02-27
BBU.UN,Brookfield Business Partners [TSX],0.582%,2020-02-27
BGI.UN,Brookfield Global Infrastructure Securities I,7.663%,2019-12-30
BIP.UN,Brookfield Infra Partners Lp Units,4.043%,2020-02-27
BPY.UN,Brookfield Property Partners,7.462%,2020-02-27
BEP.UN,Brookfield Renewable Energy Partners Lp,4.084%,2020-02-27
CCL.B,CCL Industries,1.615%,2020-03-16
CFY,CF Energy Inc.,4.00%,2019-12-05
RIT,CI First Asset Canadian REIT ETF,4.112%,2020-02-21
CRT.UN,CT Real Estate Investment Trust,4.758%,2020-02-27
CAE,Cae,1.149%,2020-03-12
CGY,Calian Technologies,2.406%,2020-02-18
CCO,Cameco,0.70%,2019-11-27
CF,Canaccord Genuity,3.752%,2020-02-27
CEU,Canadian Energy Svcs And Tech,3.125%,2020-02-27
CIQ.UN,Canadian High Income Equity Fund,7.692%,2020-02-27
CM,Canadian Imperial Bank Of Commerce,5.433%,2019-12-26
LFE,Canadian Life Companies Split Corp. Class A S,32.432%,2020-02-27
CNR,Canadian National Railway,1.942%,2020-03-09
CNQ,Canadian Natural Resources,4.091%,2019-12-10
CP,Canadian Pacific Railway Limited,0.969%,2020-03-26
CTC.A,Canadian Tire Corporation Cl. A Nv,3.236%,2020-04-29
